0,1,594.00,255.60,110.70,117.45,0.95,-1,-1,-1
0,2,179.77,248.17,26.10,49.50,0.87,-1,-1,-1
1,1,604.48,254.04,109.26,115.89,0.95,-1,-1,-1
1,2,179.77,248.17,26.10,49.50,0.87,-1,-1,-1
2,1,616.73,252.01,109.26,115.62,0.95,-1,-1,-1
2,2,179.95,248.17,25.92,49.15,0.87,-1,-1,-1
3,1,632.11,249.68,110.54,116.94,0.95,-1,-1,-1
3,2,180.00,248.17,25.87,49.04,0.87,-1,-1,-1
4,1,648.36,247.35,113.33,120.03,0.95,-1,-1,-1
4,2,180.01,248.17,25.87,49.01,0.87,-1,-1,-1
5,1,666.79,245.99,116.75,124.23,0.95,-1,-1,-1
5,2,180.09,248.50,25.71,48.69,0.86,-1,-1,-1
6,1,688.61,245.73,116.04,124.45,0.93,-1,-1,-1
6,2,180.11,248.61,25.66,48.58,0.86,-1,-1,-1
7,1,706.24,243.73,122.27,133.02,0.93,-1,-1,-1
7,2,180.21,248.80,25.63,48.55,0.83,-1,-1,-1
8,1,728.02,243.18,116.21,127.54,0.95,-1,-1,-1
8,2,180.46,249.02,25.48,48.24,0.79,-1,-1,-1
9,1,748.01,243.38,113.71,126.38,0.93,-1,-1,-1
9,2,180.42,248.48,25.84,49.05,0.78,-1,-1,-1
10,1,767.13,242.44,111.53,125.90,0.92,-1,-1,-1
10,2,180.86,249.04,25.53,48.44,0.68,-1,-1,-1
11,1,782.10,240.64,109.30,124.47,0.95,-1,-1,-1
11,2,182.17,249.70,24.01,45.19,0.30,-1,-1,-1
12,1,796.10,238.06,107.65,123.90,0.94,-1,-1,-1
12,2,184.13,250.10,22.05,41.18,0.16,-1,-1,-1
13,1,807.03,234.29,108.13,126.36,0.94,-1,-1,-1
13,2,184.05,250.39,24.31,45.15,0.62,-1,-1,-1
14,1,814.70,227.23,110.16,130.00,0.94,-1,-1,-1
14,2,185.15,250.93,24.88,45.85,0.55,-1,-1,-1
15,1,826.77,222.77,108.08,128.34,0.95,-1,-1,-1
15,2,186.60,251.13,26.44,48.52,0.82,-1,-1,-1
16,1,836.21,217.65,107.32,128.32,0.96,-1,-1,-1
16,2,187.77,250.61,27.95,50.98,0.88,-1,-1,-1
17,1,845.15,213.29,107.09,128.72,0.95,-1,-1,-1
17,2,188.86,249.97,29.23,52.80,0.89,-1,-1,-1
18,1,854.77,208.57,106.56,128.93,0.96,-1,-1,-1
18,2,189.75,250.73,29.62,52.62,0.87,-1,-1,-1
19,1,863.24,205.85,105.20,127.20,0.96,-1,-1,-1
19,2,193.07,253.37,28.74,49.89,0.86,-1,-1,-1
20,1,871.71,200.93,106.52,128.91,0.96,-1,-1,-1
20,2,195.34,252.89,29.49,49.69,0.87,-1,-1,-1
21,1,880.76,196.90,107.51,129.61,0.96,-1,-1,-1
21,2,198.19,252.70,30.55,50.22,0.87,-1,-1,-1
22,1,888.62,192.16,109.67,131.55,0.96,-1,-1,-1
22,2,200.94,251.14,32.76,52.48,0.90,-1,-1,-1
23,1,898.06,189.16,110.94,132.27,0.96,-1,-1,-1
23,2,202.90,253.03,32.62,50.99,0.92,-1,-1,-1
24,1,904.31,185.19,113.83,134.30,0.96,-1,-1,-1
24,2,204.29,252.13,34.18,52.46,0.91,-1,-1,-1
25,1,915.29,182.33,115.51,135.63,0.96,-1,-1,-1
25,2,206.54,249.59,36.63,55.06,0.92,-1,-1,-1
26,1,925.13,181.30,117.33,136.48,0.95,-1,-1,-1
26,2,207.70,249.49,37.37,55.46,0.92,-1,-1,-1
27,1,934.47,179.93,120.20,138.76,0.96,-1,-1,-1
27,2,209.51,251.66,36.18,52.95,0.94,-1,-1,-1
28,1,944.32,178.33,122.06,140.48,0.95,-1,-1,-1
28,2,211.26,251.16,37.43,54.04,0.92,-1,-1,-1
29,1,954.65,178.27,122.99,141.39,0.97,-1,-1,-1
29,2,212.95,250.98,38.39,54.73,0.92,-1,-1,-1
30,1,963.92,176.74,126.03,144.35,0.96,-1,-1,-1
30,2,214.88,250.76,39.49,55.86,0.92,-1,-1,-1
31,1,973.31,175.65,127.68,146.03,0.96,-1,-1,-1
31,2,218.24,250.68,40.90,56.86,0.92,-1,-1,-1
32,1,985.87,174.15,127.23,144.87,0.96,-1,-1,-1
32,2,220.31,250.80,41.58,57.23,0.92,-1,-1,-1
33,1,995.66,168.05,129.24,146.73,0.97,-1,-1,-1
33,2,221.77,251.43,41.83,57.35,0.91,-1,-1,-1
34,1,1007.19,161.49,128.94,146.44,0.96,-1,-1,-1
34,2,224.01,253.29,41.39,56.50,0.89,-1,-1,-1
35,1,1017.73,155.38,127.53,144.66,0.96,-1,-1,-1
35,2,225.72,254.15,41.64,56.74,0.84,-1,-1,-1
36,1,1030.87,148.35,126.87,144.17,0.96,-1,-1,-1
36,2,227.41,255.06,41.58,56.53,0.78,-1,-1,-1
37,1,1045.09,144.57,125.09,142.10,0.96,-1,-1,-1
37,2,227.73,254.80,42.04,57.33,0.86,-1,-1,-1
38,1,1056.76,137.85,125.25,142.41,0.95,-1,-1,-1
38,2,228.63,254.84,42.06,57.32,0.89,-1,-1,-1
39,1,1066.31,132.50,124.85,142.22,0.95,-1,-1,-1
39,2,228.87,254.25,42.72,58.20,0.91,-1,-1,-1
40,1,1075.27,126.92,126.20,143.18,0.96,-1,-1,-1
40,2,228.81,254.16,43.58,59.40,0.92,-1,-1,-1
41,1,1086.25,124.08,127.32,143.53,0.96,-1,-1,-1
41,2,228.15,254.13,44.06,60.14,0.92,-1,-1,-1
42,1,1104.28,121.24,126.46,142.32,0.94,-1,-1,-1
42,2,227.43,253.96,44.39,60.70,0.92,-1,-1,-1
43,1,1121.79,119.07,125.32,140.88,0.96,-1,-1,-1
43,2,226.95,254.48,44.55,60.90,0.92,-1,-1,-1
44,1,1140.36,117.30,125.08,140.70,0.95,-1,-1,-1
44,2,225.78,254.67,45.30,62.14,0.93,-1,-1,-1
45,1,1152.61,116.18,125.40,141.23,0.94,-1,-1,-1
45,2,225.48,255.62,44.75,61.42,0.93,-1,-1,-1
46,1,1166.50,118.78,122.65,140.47,0.90,-1,-1,-1
46,2,224.11,256.72,44.79,61.71,0.92,-1,-1,-1
47,1,1186.29,119.01,108.16,127.06,0.69,-1,-1,-1
47,2,222.28,258.02,44.76,61.81,0.93,-1,-1,-1
48,1,1215.69,120.31,75.74,91.09,0.58,-1,-1,-1
48,2,219.90,259.83,45.49,63.01,0.94,-1,-1,-1
49,2,217.27,262.85,45.84,63.75,0.90,-1,-1,-1
50,2,214.44,265.60,45.93,64.01,0.91,-1,-1,-1
51,2,211.56,268.54,46.20,64.69,0.89,-1,-1,-1
52,2,208.37,270.51,47.65,67.28,0.86,-1,-1,-1
53,2,206.41,274.42,47.36,67.09,0.76,-1,-1,-1
54,2,204.90,275.90,48.28,68.45,0.76,-1,-1,-1
55,2,207.89,304.78,30.91,43.80,0.61,-1,-1,-1
56,2,208.64,318.44,24.11,34.15,0.52,-1,-1,-1
57,2,208.50,324.20,22.03,31.07,0.41,-1,-1,-1
58,2,210.55,328.15,21.64,29.99,0.41,-1,-1,-1
59,2,202.85,304.73,39.75,55.33,0.70,-1,-1,-1
60,2,200.04,296.69,47.21,66.33,0.66,-1,-1,-1
61,2,198.45,290.07,51.29,72.79,0.84,-1,-1,-1
62,2,197.91,288.09,52.69,75.50,0.87,-1,-1,-1
63,2,198.40,288.02,52.54,75.91,0.90,-1,-1,-1
64,2,199.58,290.04,51.22,74.21,0.91,-1,-1,-1
65,2,200.73,290.53,51.09,74.20,0.92,-1,-1,-1
66,2,201.50,292.34,50.82,74.09,0.92,-1,-1,-1
67,2,202.62,293.84,51.02,74.49,0.93,-1,-1,-1
68,2,203.55,294.76,51.42,75.40,0.91,-1,-1,-1
69,2,204.43,296.17,51.54,75.66,0.93,-1,-1,-1
70,2,204.24,296.90,51.85,76.23,0.92,-1,-1,-1
71,2,203.20,297.65,52.35,76.95,0.92,-1,-1,-1
72,2,202.51,297.23,52.64,77.43,0.92,-1,-1,-1
73,2,202.28,296.07,52.68,77.25,0.94,-1,-1,-1
74,2,202.19,295.19,52.02,75.92,0.94,-1,-1,-1
75,2,201.93,293.39,51.61,75.03,0.94,-1,-1,-1
76,2,201.63,291.54,51.49,74.64,0.94,-1,-1,-1
77,2,201.66,290.57,51.52,74.45,0.95,-1,-1,-1
78,2,202.04,289.49,51.83,74.63,0.95,-1,-1,-1
79,2,202.96,289.11,52.05,74.66,0.95,-1,-1,-1
80,2,203.85,288.70,52.82,75.53,0.96,-1,-1,-1
81,2,205.20,288.87,53.14,75.84,0.96,-1,-1,-1
